"export-plot data (NetLogo 6.0.4)"
"diffusion_of_innovation2.nlogo"
"04/18/2019 18:15:33:024 -0400"

"MODEL SETTINGS"
"n","percent-initial-adopters","gamma","movement-enabled","beta","percent-initial-disposers"
"500","0.02","0.21","false","0.24","0.02"

"""Population Types"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","13.8","0","530","true","""potential""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""potential""","true","0","1","105","11"
"""adopter""","true","0","1","13","11"
"""disposer""","true","0","1","54","11"

"""potential""",,,,"""adopter""",,,,"""disposer"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","482","105","true","0","8","13","true","0","10","54","true"
"1","458","105","true","1","27","13","true","1","15","54","true"
"2","438","105","true","2","44","13","true","2","18","54","true"
"3","402","105","true","3","80","13","true","3","18","54","true"
"4","254","105","true","4","221","13","true","4","25","54","true"
"5","72","105","true","5","368","13","true","5","60","54","true"
"6","17","105","true","6","350","13","true","6","133","54","true"
"7","16","105","true","7","163","13","true","7","321","54","true"
"8","16","105","true","8","17","13","true","8","467","54","true"
"9","16","105","true","9","2","13","true","9","482","54","true"
"10","16","105","true","10","0","13","true","10","484","54","true"
"11","16","105","true","11","0","13","true","11","484","54","true"
