0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,150.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,127.0,11.5,0.08303249097472924,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.08303249097472924},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.28815358921021483},"
4-c Control,Arclight Phoenix,88.2,30.9,0.25944584382871533,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.25944584382871533},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.5093582666735814},"
4-c Control,Belcher,149.0,0.5,0.0033444816053511705,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0033444816053511705},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.05783149319662402},"
4-c Control,Bomberman,150.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,51.0,49.5,0.4925373134328358,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.4925373134328358},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.7018100265975371},"
4-c Control,Burn,141.000000001,4.499999999999999,0.030927835051333827,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.030927835051333827},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.1758631145275604},"
4-c Control,Canadian Threshold,94.5,27.75,0.22699386503067484,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.22699386503067484},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.47643873166512696},"
4-c Control,Cloudpost Ramp,144.66666666400002,2.666666667,0.018099547513861298,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.018099547513861298},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.1345345588087362},"
