0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,58.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,34.5,4.0,0.1038961038961039,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.1038961038961039},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.3223291856101521},"
4-c Control,Arclight Phoenix,9.1,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.0},"
4-c Control,Belcher,21.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},"
4-c Control,Bomberman,43.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,4.0,4.0,0.5,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.5},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.7071067811865476},"
4-c Control,Burn,7.999999998999999,0.166666667,0.020408163307788423,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.020408163307788423},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.1428571430058309},"
4-c Control,Canadian Threshold,6.75,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.0},"
4-c Control,Cloudpost Ramp,25.833333331999995,1.0,0.037267080747193405,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.037267080747193405},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.19304683563113229},"
4-c Control,Dark Depths,10.5,1.0,0.08695652173913043,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.08695652173913043},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.29488391230979427},"
4-c Control,Death and taxes,16.499999999999996,0.3,0.01785714285714286,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.01785714285714286},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.1336306209562122},"
4-c Control,Death's Shadow,7.299999999999999,0.2,0.026666666666666672,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.026666666666666672},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.16329931618554522},"
4-c Control,Delver (Other),5.5,1.5,0.21428571428571427,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.21428571428571427},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.4629100498862757},"
4-c Control,Doomsday,14.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},"
4-c Control,Dragon Stompy,21.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},"
4-c Control,Dredge,9.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},"
4-c Control,Eldrazi Aggro,23.300000000000004,0.6,0.025104602510460247,"{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.025104602510460247},","{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.15844431990595387},"
4-c Control,Elves,6.166666667,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.0},"
4-c Control,Food Chain,4.5,5.5,0.55,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.55},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.7416198487095663},"
4-c Control,Goblins,13.0,0.5,0.037037037037037035,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.037037037037037035},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.19245008972987526},"
4-c Control,Grixis Control,2.625,4.75,0.6440677966101694,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.6440677966101694},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.8025383458814721},"
4-c Control,Grixis Delver,6.0,0.5,0.07692307692307693,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.07692307692307693},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.2773500981126146},"
4-c Control,Humans,9.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0},"
4-c Control,Infect,5.0,0.5,0.09090909090909091,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.09090909090909091},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.30151134457776363},"
4-c Control,Junk,9.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.0},"
4-c Control,Lands,14.357142858,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.0},"
4-c Control,Legacy Landstill,6.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.0},"
4-c Control,LOAM,13.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.0},"
4-c Control,Maverick,9.5,0.333333333,0.033898305051996556,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.033898305051996556},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.1841149234907278},"
4-c Control,Merfolk,16.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0},"
4-c Control,MUD,53.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},"
4-c Control,Nic Fit,5.5,0.333333333,0.0571428570889796,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.0571428570889796},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.23904572175418576},"
4-c Control,Painter,35.5,1.0,0.0273972602739726,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0273972602739726},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.1655211777204736},"
4-c Control,Pikula,14.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.0},"
4-c Control,Reanimator,8.666666666000001,0.666666667,0.07142857146683673,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.07142857146683673},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.2672612419840122},"
4-c Control,Slivers,14.5,1.0,0.06451612903225806,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.06451612903225806},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.254000254000381},"
4-c Control,Sneak & Show,9.499999999,0.46153846200000004,0.04633204638088282,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.04633204638088282},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.21524880111369452},"
4-c Control,Stoneblade,8.699999999999998,0.5,0.05434782608695655,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.05434782608695655},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.2331262020600785},"
4-c Control,Storm,15.166666666000001,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.0},"
4-c Control,UR Delver,6.9,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.0},"
4-c Control,UWx Control,6.3125,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.0},"
4-c Control,Zombie Bombardment,5.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.0},"
Affinity,Antiquities War,54.0,18.0,0.25,"{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.25},","{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.5},"
Affinity,Arclight Phoenix,52.2,2.2,0.04044117647058824,"{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.04044117647058824},","{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.20109991663496093},"
Affinity,Belcher,61.0,4.0,0.06153846153846154,"{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.06153846153846154},","{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.2480694691784169},"
Affinity,Bomberman,55.0,18.0,0.2465753424657534,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.2465753424657534},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.49656353316142077},"
Affinity,BUG Midrange,58.5,0.5,0.00847457627118644,"{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.00847457627118644},","{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.09205746178983233},"
