0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,35.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,18.0,4.0,0.18181818181818182,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.18181818181818182},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.4264014327112209},"
4-c Control,Arclight Phoenix,19.599999999999998,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.0},"
4-c Control,Belcher,25.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},"
4-c Control,Bomberman,27.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,10.0,6.5,0.3939393939393939,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.3939393939393939},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.6276459144608478},"
4-c Control,Burn,23.999999999,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},"
4-c Control,Canadian Threshold,21.75,1.0,0.04395604395604396,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.04395604395604396},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.20965696734438366},"
4-c Control,Cloudpost Ramp,20.666666665999998,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},"
4-c Control,Dark Depths,22.444444444,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.0},"
4-c Control,Death and taxes,40.2,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0},"
4-c Control,Death's Shadow,23.799999999999997,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.0},"
4-c Control,Delver (Other),19.0,1.5,0.07317073170731707,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.07317073170731707},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.2705008904002297},"
4-c Control,Doomsday,10.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},"
