0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,4.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,5.5,0.5,0.08333333333333333,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.08333333333333333},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.28867513459481287},"
4-c Control,Arclight Phoenix,1.9,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.0},"
4-c Control,Belcher,0.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},"
4-c Control,Bomberman,4.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,1.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.0},"
4-c Control,Burn,7.666666667000001,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},"
4-c Control,Canadian Threshold,2.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.0},"
4-c Control,Cloudpost Ramp,1.166666666,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},"
4-c Control,Dark Depths,2.944444443,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.0},"
4-c Control,Death and taxes,2.3000000000000003,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0},"
4-c Control,Death's Shadow,2.9000000000000004,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.0},"
4-c Control,Delver (Other),3.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.0},"
4-c Control,Doomsday,4.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},"
4-c Control,Dragon Stompy,8.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},"
4-c Control,Dredge,7.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},"
4-c Control,Eldrazi Aggro,2.5,0.5,0.16666666666666666,"{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.16666666666666666},","{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.408248290463863},"
4-c Control,Elves,6.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.0},"
4-c Control,Food Chain,5.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.0},"
4-c Control,Goblins,2.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0},"
4-c Control,Grixis Control,1.625,0.125,0.07142857142857142,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.07142857142857142},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.2672612419124244},"
