0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,27.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,21.5,6.0,0.21818181818181817,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.21818181818181817},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.46709936649691375},"
4-c Control,Arclight Phoenix,30.1,10.599999999999998,0.26044226044226026,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.26044226044226026},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.5103354391400428},"
4-c Control,Belcher,44.5,0.5,0.011111111111111112,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.011111111111111112},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.10540925533894598},"
4-c Control,Bomberman,29.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,12.0,19.0,0.6129032258064516,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.6129032258064516},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.7828813612588127},"
4-c Control,Burn,40.833333334,2.5000000000000004,0.05769230769142013,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.05769230769142013},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.24019223070578308},"
4-c Control,Canadian Threshold,31.5,14.75,0.31891891891891894,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.31891891891891894},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.5647290668266677},"
4-c Control,Cloudpost Ramp,32.5,1.6666666669999999,0.04878048781415823,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.04878048781415823},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.22086305217070198},"
4-c Control,Dark Depths,28.833333332999995,4.944444444,0.14638157893758116,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.14638157893758116},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.38259845652796504},"
4-c Control,Death and taxes,32.0,1.4,0.041916167664670656,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.041916167664670656},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.2047343832009432},"
4-c Control,Death's Shadow,21.3,15.1,0.41483516483516475,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.41483516483516475},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.6440769867299753},"
4-c Control,Delver (Other),21.0,16.0,0.43243243243243246,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.43243243243243246},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.6575959492214292},"
4-c Control,Doomsday,34.5,8.0,0.18823529411764706,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.18823529411764706},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.4338609156373123},"
4-c Control,Dragon Stompy,30.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},"
4-c Control,Dredge,30.5,2.0,0.06153846153846154,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.06153846153846154},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.2480694691784169},"
4-c Control,Eldrazi Aggro,29.1,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.0},"
4-c Control,Elves,27.166666667,2.166666667,0.07386363637332127,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.07386363637332127},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.27177865327012213},"
4-c Control,Food Chain,13.0,17.0,0.5666666666666667,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.5666666666666667},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.752772652709081},"
4-c Control,Goblins,29.0,2.0,0.06451612903225806,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.06451612903225806},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.254000254000381},"
4-c Control,Grixis Control,9.75,20.75,0.680327868852459,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.680327868852459},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.8248199008586414},"
4-c Control,Grixis Delver,22.5,18.0,0.4444444444444444,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.4444444444444444},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.6666666666666666},"
4-c Control,Humans,27.5,2.5,0.08333333333333333,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.08333333333333333},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.28867513459481287},"
4-c Control,Infect,28.5,14.0,0.32941176470588235,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.32941176470588235},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.5739440431835514},"
4-c Control,Junk,31.5,5.0,0.136986301369863,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.136986301369863},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.3701166050988026},"
4-c Control,Lands,36.928571428,0.28571428600000004,0.007677543193916911,"{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.007677543193916911},","{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.08762159091181186},"
4-c Control,Legacy Landstill,25.5,12.5,0.32894736842105265,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.32894736842105265},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.5735393346764044},"
4-c Control,LOAM,32.166666667,2.5,0.07211538461469119,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.07211538461469119},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.26854307776349623},"
4-c Control,Maverick,31.166666666,1.333333333,0.04102564101664694,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.04102564101664694},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.20254787339453095},"
4-c Control,Merfolk,26.0,7.5,0.22388059701492538,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.22388059701492538},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.47316022340738384},"
4-c Control,MUD,27.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},"
4-c Control,Nic Fit,25.166666666999998,4.333333333,0.14689265535593218,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.14689265535593218},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.3832657763953523},"
4-c Control,Painter,22.5,6.5,0.22413793103448276,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.22413793103448276},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.4734320764739993},"
4-c Control,Pikula,31.0,2.0,0.06060606060606061,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.06060606060606061},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.24618298195866548},"
4-c Control,Reanimator,35.499999998999996,2.166666667,0.05752212390367296,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.05752212390367296},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.23983770325716713},"
4-c Control,Slivers,23.5,4.0,0.14545454545454545,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.14545454545454545},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.3813850356982369},"
4-c Control,Sneak & Show,24.653846155,12.230769231,0.33159541188119124,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.33159541188119124},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.5758432181429172},"
4-c Control,Stoneblade,25.7,13.1,0.3376288659793814,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.3376288659793814},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.5810584015220686},"
4-c Control,Storm,33.27777777599999,8.055555556,0.19489247313531913,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.19489247313531913},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.4414662763284633},"
4-c Control,UR Delver,24.8,16.0,0.392156862745098,"{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.392156862745098},","{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.6262242910851494},"
4-c Control,UWx Control,25.125,14.5625,0.3669291338582677,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.3669291338582677},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.6057467571999603},"
4-c Control,Zombie Bombardment,29.5,6.0,0.16901408450704225,"{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.16901408450704225},","{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.411113225896519},"
Affinity,Antiquities War,6.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.0},"
Affinity,Arclight Phoenix,23.8,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0},"
Affinity,Belcher,18.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0},"
Affinity,Bomberman,2.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.0},"
Affinity,BUG Midrange,22.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.0},"
Affinity,Burn,18.333333334,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0},"
Affinity,Canadian Threshold,33.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Canadian Threshold"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Canadian Threshold"", ""value"":0.0},"
Affinity,Cloudpost Ramp,8.333333333999999,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},"
Affinity,Dark Depths,11.222222220999997,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.0},"
Affinity,Death and taxes,7.299999999999999,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.0},"
Affinity,Death's Shadow,23.999999999999996,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":0.0},"
Affinity,Delver (Other),25.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":0.0},"
