0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,40.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,40.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.0},"
4-c Control,Arclight Phoenix,10.7,12.3,0.5347826086956523,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.5347826086956523},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.73128832118095},"
4-c Control,Belcher,21.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},"
4-c Control,Bomberman,39.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,16.5,12.5,0.43103448275862066,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.43103448275862066},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.6565321642986127},"
4-c Control,Burn,35.333333334,1.8333333330000001,0.04932735425067868,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.04932735425067868},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.22209762324410112},"
4-c Control,Canadian Threshold,23.25,8.0,0.256,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.256},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.5059644256269407},"
4-c Control,Cloudpost Ramp,47.499999998999996,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},"
4-c Control,Dark Depths,38.166666668000005,4.6111111110000005,0.10779220778653063,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.10779220778653063},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.3283172365053815},"
