0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,5.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,7.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.0},"
4-c Control,Arclight Phoenix,3.5,0.4,0.10256410256410257,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.10256410256410257},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.32025630761017426},"
4-c Control,Belcher,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},"
4-c Control,Bomberman,7.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,1.5,2.5,0.625,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.625},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.7905694150420949},"
4-c Control,Burn,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},"
4-c Control,Canadian Threshold,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.0},"
4-c Control,Cloudpost Ramp,5.833333333999999,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},"
4-c Control,Dark Depths,2.277777778,1.222222222,0.34920634914285714,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.34920634914285714},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.5909368402315573},"
4-c Control,Death and taxes,4.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0},"
4-c Control,Death's Shadow,2.5,1.0,0.2857142857142857,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.2857142857142857},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.5345224838248488},"
4-c Control,Delver (Other),2.5,1.5,0.375,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.375},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.6123724356957945},"
4-c Control,Doomsday,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0},"
4-c Control,Dragon Stompy,7.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},"
4-c Control,Dredge,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},"
4-c Control,Eldrazi Aggro,4.9,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.0},"
4-c Control,Elves,3.833333333,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.0},"
4-c Control,Food Chain,2.5,1.0,0.2857142857142857,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.2857142857142857},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.5345224838248488},"
4-c Control,Goblins,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0},"
4-c Control,Grixis Control,0.375,3.375,0.9,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.9},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.9486832980505138},"
4-c Control,Grixis Delver,3.25,0.25,0.07142857142857142,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.07142857142857142},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.2672612419124244},"
4-c Control,Humans,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0},"
4-c Control,Infect,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.0},"
4-c Control,Junk,5.5,1.0,0.15384615384615385,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.15384615384615385},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.3922322702763681},"
4-c Control,Lands,3.642857143,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.0},"
4-c Control,Legacy Landstill,2.5,2.0,0.4444444444444444,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.4444444444444444},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.6666666666666666},"
4-c Control,LOAM,7.499999999,0.333333333,0.04255319145405161,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.04255319145405161},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.2062842491661727},"
4-c Control,Maverick,5.500000001,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.0},"
4-c Control,Merfolk,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0},"
4-c Control,MUD,7.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},"
4-c Control,Nic Fit,5.833333333,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.0},"
4-c Control,Painter,5.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0},"
4-c Control,Pikula,7.0,1.5,0.17647058823529413,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.17647058823529413},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.42008402520840293},"
4-c Control,Reanimator,3.666666667,0.333333333,0.08333333324999999,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.08333333324999999},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.28867513445047527},"
4-c Control,Slivers,3.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.0},"
4-c Control,Sneak & Show,3.423076923,0.076923077,0.021978022000000003,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.021978022000000003},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.1482498634063452},"
