0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Affinity,11.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Affinity"", ""value"":0.0},"
4-c Control,Antiquities War,16.5,1.0,0.05714285714285714,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.05714285714285714},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.23904572186687872},"
4-c Control,Arclight Phoenix,17.299999999999997,7.6,0.30522088353413657,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.30522088353413657},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.5524679932214503},"
4-c Control,Belcher,36.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Belcher"", ""value"":0.0},"
4-c Control,Bomberman,11.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Bomberman"", ""value"":0.0},"
4-c Control,BUG Midrange,7.5,8.5,0.53125,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.53125},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.7288689868556626},"
4-c Control,Burn,29.500000001,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0},"
4-c Control,Canadian Threshold,9.25,4.0,0.3018867924528302,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.3018867924528302},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.5494422557947561},"
4-c Control,Cloudpost Ramp,16.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},"
4-c Control,Dark Depths,13.722222223,6.222222221000001,0.3119777158231082,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.3119777158231082},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.5585496538564035},"
4-c Control,Death and taxes,14.299999999999999,0.30000000000000004,0.020547945205479454,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.020547945205479454},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.14334554477024897},"
4-c Control,Death's Shadow,7.5,9.1,0.5481927710843373,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.5481927710843373},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.7404004126716417},"
4-c Control,Delver (Other),5.0,9.0,0.6428571428571429,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.6428571428571429},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.8017837257372732},"
4-c Control,Doomsday,22.5,6.5,0.22413793103448276,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.22413793103448276},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.4734320764739993},"
4-c Control,Dragon Stompy,15.333333333,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dragon Stompy"", ""value"":0.0},"
4-c Control,Dredge,24.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0},"
4-c Control,Eldrazi Aggro,13.9,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.0},"
4-c Control,Elves,17.833333334000002,2.5,0.12295081966809995,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.12295081966809995},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.35064343665339004},"
4-c Control,Food Chain,10.0,5.5,0.3548387096774194,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.3548387096774194},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.5956833971812706},"
4-c Control,Goblins,11.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0},"
4-c Control,Grixis Control,4.5,9.875,0.6869565217391305,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.6869565217391305},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.8288284030721501},"
4-c Control,Grixis Delver,6.5,7.0,0.5185185185185185,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.5185185185185185},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.7200822998230956},"
4-c Control,Humans,11.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0},"
4-c Control,Infect,9.5,4.5,0.32142857142857145,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.32142857142857145},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.5669467095138409},"
4-c Control,Junk,11.5,6.5,0.3611111111111111,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.3611111111111111},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.6009252125773316},"
4-c Control,Lands,18.785714285,0.28571428600000004,0.014981273423557635,"{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.014981273423557635},","{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.12239801233499518},"
4-c Control,Legacy Landstill,13.5,4.0,0.22857142857142856,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.22857142857142856},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.47809144373375745},"
4-c Control,LOAM,13.833333334,1.6666666659999998,0.10752688167741935,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.10752688167741935},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.32791291782639387},"
4-c Control,Maverick,16.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.0},"
4-c Control,Merfolk,11.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0},"
4-c Control,MUD,12.0,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""MUD"", ""value"":0.0},"
4-c Control,Nic Fit,21.833333333000002,2.666666666,0.10884353739219772,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.10884353739219772},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.3299144395024227},"
4-c Control,Painter,15.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0},"
4-c Control,Pikula,16.0,5.0,0.23809523809523808,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.23809523809523808},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.4879500364742666},"
4-c Control,Reanimator,28.666666667,2.5,0.0802139037424576,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.0802139037424576},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.28322059201699584},"
4-c Control,Slivers,11.5,0.0,0.0,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.0},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.0},"
4-c Control,Sneak & Show,14.653846154,4.461538462,0.2334004024311179,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.2334004024311179},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.4831153096633535},"
4-c Control,Stoneblade,10.5,3.8000000000000003,0.26573426573426573,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.26573426573426573},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.5154941956358633},"
4-c Control,Storm,25.944444444,6.388888889,0.19759450172368656,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.19759450172368656},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.44451603089617203},"
4-c Control,UR Delver,13.600000000000001,4.0,0.22727272727272727,"{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.22727272727272727},","{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.4767312946227962},"
4-c Control,UWx Control,15.3125,4.0,0.20711974110032363,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.20711974110032363},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.4551040991908594},"
4-c Control,Zombie Bombardment,19.5,4.0,0.1702127659574468,"{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.1702127659574468},","{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.41256849850351734},"
Affinity,Antiquities War,7.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.0},"
Affinity,Arclight Phoenix,20.999999999999996,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0},"
Affinity,Belcher,25.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0},"
Affinity,Bomberman,0,0.0,,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":nan},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":nan},"
Affinity,BUG Midrange,13.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""BUG Midrange"", ""value"":0.0},"
Affinity,Burn,18.000000001,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0},"
Affinity,Canadian Threshold,5.75,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Canadian Threshold"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Canadian Threshold"", ""value"":0.0},"
Affinity,Cloudpost Ramp,5.0,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.0},"
Affinity,Dark Depths,14.666666665,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.0},"
Affinity,Death and taxes,3.4000000000000004,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.0},"
Affinity,Death's Shadow,14.2,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":0.0},"
Affinity,Delver (Other),11.5,0.0,0.0,"{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":0.0},","{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":0.0},"
