Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,127,11.5,0.083032491,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.08303249097472924},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.006894394557468493},"
4-c Control,Arclight Phoenix,88.2,30.9,0.259445844,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.25944584382871533},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.06731214587999414},"
4-c Control,BUG Midrange,51,49.5,0.492537313,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.4925373134328358},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.24259300512363552},"
4-c Control,Burn,141,4.5,0.030927835,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.030927835051333827},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.0009565309809625133},"
4-c Control,Canadian Threshold,94.5,27.75,0.226993865,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.22699386503067484},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.05152621476156423},"
4-c Control,Cloudpost Ramp,144.6666667,2.666666667,0.018099548,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.018099547513861298},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0003275936202065227},"
4-c Control,Dark Depths,114.2222222,18,0.136134454,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.13613445376867447},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.018532589502895366},"
4-c Control,Death and taxes,145.6,2.2,0.01488498,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.014884979702300407},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0002215626207378951},"
4-c Control,Death's Shadow,81,34.5,0.298701299,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.2987012987012988},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.08922246584584252},"
4-c Control,Delver (Other),67,41.5,0.382488479,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.3824884792626728},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.1462974367686721},"
4-c Control,Doomsday,97,26.5,0.214574899,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.2145748987854251},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.04604238718877542},"
4-c Control,Dredge,146,2,0.013513514,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.013513513513513514},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.00018261504747991238},"
4-c Control,Eldrazi Aggro,147.8,1.1,0.007387508,"{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":0.007387508394895903},","{""source"": ""4-c Control"", ""target"": ""Eldrazi Aggro"", ""value"":5.457528028465745e-05},"
4-c Control,Elves,132,9,0.063829787,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.06382978723358987},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.004074241738285352},"
4-c Control,Food Chain,63,43.5,0.408450704,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.4084507042253521},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.16683197778218609},"
4-c Control,Goblins,143,3.5,0.023890785,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.023890784982935155},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0005707696071008399},"
4-c Control,Grixis Control,40.25,54.875,0.576872536,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.5768725361366623},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.3327819229487448},"
4-c Control,Grixis Delver,78,36,0.315789474,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.3157894736842105},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.09972299168975068},"
4-c Control,Humans,145,2.5,0.016949153,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.01694915254237288},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0002872737719046251},"
4-c Control,Infect,96.5,27,0.218623482,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.21862348178137653},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.04779622678621188},"
4-c Control,Junk,117,16.5,0.123595506,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.12359550561797752},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.015275849008963513},"
4-c Control,Lands,147,1.571428572,0.010576923,"{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.010576923080728549},","{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.0001118713018556483},"
4-c Control,Legacy Landstill,103,23.5,0.185770751,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.1857707509881423},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.03451077192269837},"
4-c Control,LOAM,131.3333333,9.499999999,0.067455621,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.0674556212948342},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.00455026084427209},"
4-c Control,Maverick,144,2.999999999,0.020408163,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.020408163258919896},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.00041649312760272796},"
4-c Control,Merfolk,134,8,0.056338028,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.056338028169014086},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.0031739734179726245},"
4-c Control,Nic Fit,125.6666667,12.16666667,0.088270859,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.0882708585148312},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.007791744462945348},"
4-c Control,Painter,134,8,0.056338028,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.056338028169014086},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0031739734179726245},"
4-c Control,Pikula,127,11.5,0.083032491,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.08303249097472924},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.006894394557468493},"
4-c Control,Reanimator,126.8333333,11.66666667,0.08423586,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.08423586041155239},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.007095680179274538},"
4-c Control,Slivers,140,5,0.034482759,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.034482758620689655},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.0011890606420927466},"
4-c Control,Sneak & Show,102.9230769,23.57692308,0.186378839,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.18637883856769652},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.03473707146584348},"
4-c Control,Stoneblade,97.2,26.4,0.213592233,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.21359223300970875},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.04562164200207372},"
4-c Control,Storm,97.22222222,26.38888889,0.213483146,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.21348314607368765},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.04557505365751946},"
4-c Control,UR Delver,96.2,26.9,0.218521527,"{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.21852152721364737},","{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.04775165785578483},"
4-c Control,UWx Control,93.6875,28.1875,0.231282051,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.2312820512820513},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.053491387245233404},"
4-c Control,Zombie Bombardment,113,18.5,0.140684411,"{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.14068441064638784},","{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.019792103398921485},"
Affinity,Antiquities War,102,24,0.19047619,"{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.19047619047619047},","{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.03628117913832199},"
Affinity,Arclight Phoenix,145.6,2.2,0.01488498,"{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.014884979702300403},","{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.000221562620737895},"
Affinity,Belcher,142,4,0.02739726,"{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0273972602739726},","{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0007506098705197973},"
Affinity,Bomberman,100,25,0.2,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.2},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.04000000000000001},"
Affinity,Burn,145.6666667,2.166666667,0.014656144,"{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.014656144308840331},","{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.00021480256600155283},"
Affinity,Cloudpost Ramp,130.6666667,9.666666666,0.06888361,"{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.06888361044721028},","{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.004744951788243018},"
Affinity,Dark Depths,145.1111111,2.555555556,0.017306245,"{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.017306245300772655},","{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.0002995061264105156},"
Affinity,Death and taxes,138,6,0.041666667,"{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.04166666666666668},","{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.001736111111111112},"
Affinity,Death's Shadow,147.2,1.4,0.009421265,"{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":0.009421265141318979},","{""source"": ""Affinity"", ""target"": ""Death's Shadow"", ""value"":8.876023686303212e-05},"
Affinity,Delver (Other),148,1,0.006711409,"{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":0.006711409395973154},","{""source"": ""Affinity"", ""target"": ""Delver (Other)"", ""value"":4.504301608035674e-05},"
Affinity,Doomsday,142,4,0.02739726,"{""source"": ""Affinity"", ""target"": ""Doomsday"", ""value"":0.0273972602739726},","{""source"": ""Affinity"", ""target"": ""Doomsday"", ""value"":0.0007506098705197973},"
Affinity,Dragon Stompy,117.5,16.33333333,0.122042341,"{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":0.12204234121823672},","{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":0.01489433305002852},"
