0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,34.5,4.0,0.1038961038961039,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.1038961038961039},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.010794400404790017},"
4-c Control,BUG Midrange,4.0,4.0,0.5,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.5},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.25},"
4-c Control,Cloudpost Ramp,25.833333331999995,1.0,0.037267080747193405,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.037267080747193405},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0013888353074178333},"
4-c Control,Dark Depths,10.5,1.0,0.08695652173913043,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.08695652173913043},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.007561436672967863},"
4-c Control,Delver (Other),5.5,1.5,0.21428571428571427,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.21428571428571427},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.04591836734693877},"
4-c Control,Food Chain,4.5,5.5,0.55,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.55},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.30250000000000005},"
4-c Control,Grixis Control,2.625,4.75,0.6440677966101694,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.6440677966101694},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.4148233266302786},"
4-c Control,Painter,35.5,1.0,0.0273972602739726,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0273972602739726},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.0007506098705197973},"
4-c Control,Slivers,14.5,1.0,0.06451612903225806,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.06451612903225806},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.004162330905306971},"
Affinity,Antiquities War,54.0,18.0,0.25,"{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.25},","{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.0625},"
Affinity,Arclight Phoenix,52.2,2.2,0.04044117647058824,"{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.04044117647058824},","{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0016354887543252596},"
Affinity,Belcher,61.0,4.0,0.06153846153846154,"{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.06153846153846154},","{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.0037869822485207105},"
Affinity,Bomberman,55.0,18.0,0.2465753424657534,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.2465753424657534},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.06079939951210358},"
Affinity,Burn,52.833333333,1.5,0.027607361963359556,"{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.027607361963359556},","{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0007621664345759519},"
