0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,18.0,4.0,0.18181818181818182,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.18181818181818182},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.03305785123966942},"
4-c Control,BUG Midrange,10.0,6.5,0.3939393939393939,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.3939393939393939},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.155188246097337},"
4-c Control,Canadian Threshold,21.75,1.0,0.04395604395604396,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.04395604395604396},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.0019321338002656688},"
4-c Control,Delver (Other),19.0,1.5,0.07317073170731707,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.07317073170731707},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.005353955978584175},"
4-c Control,Food Chain,15.5,5.5,0.2619047619047619,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.2619047619047619},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.06859410430839002},"
4-c Control,Grixis Control,7.625,6.25,0.45045045045045046,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.45045045045045046},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.20290560831101373},"
4-c Control,Infect,25.0,1.0,0.038461538461538464,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.038461538461538464},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.0014792899408284025},"
4-c Control,Junk,22.0,1.0,0.043478260869565216,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.043478260869565216},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.0018903591682419658},"
4-c Control,Legacy Landstill,9.0,3.0,0.25,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.25},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.0625},"
4-c Control,LOAM,22.333333333,1.0,0.042857142857755104,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.042857142857755104},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.0018367346939300293},"
