0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Goblins,41.5,1,0.023529412,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.023529411764705882},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0005536332179930795},"
4-c Control,Lands,54.21428571,1,0.018111255,"{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.018111254851650715},","{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.00032801755230144156},"
Affinity,Humans,39,1,0.025,"{""source"": ""Affinity"", ""target"": ""Humans"", ""value"":0.025},","{""source"": ""Affinity"", ""target"": ""Humans"", ""value"":0.0006250000000000001},"
Affinity,Junk,40,1,0.024390244,"{""source"": ""Affinity"", ""target"": ""Junk"", ""value"":0.024390243902439025},","{""source"": ""Affinity"", ""target"": ""Junk"", ""value"":0.000594883997620464},"
Affinity,LOAM,44.66666667,1,0.02189781,"{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.021897810218818262},","{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.0004795140923793815},"
Affinity,Maverick,40.66666666,1,0.024,"{""source"": ""Affinity"", ""target"": ""Maverick"", ""value"":0.02400000000096},","{""source"": ""Affinity"", ""target"": ""Maverick"", ""value"":0.00057600000004608},"
Affinity,Nic Fit,43,1,0.022727273,"{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.02272727272778926},","{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.0005165289256433134},"
Affinity,Pikula,39.5,1,0.024691358,"{""source"": ""Affinity"", ""target"": ""Pikula"", ""value"":0.024691358024691357},","{""source"": ""Affinity"", ""target"": ""Pikula"", ""value"":0.0006096631611034902},"
Affinity,Slivers,39,1,0.025,"{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":0.025},","{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":0.0006250000000000001},"
Belcher,Lands,34.71428571,1,0.028,"{""source"": ""Belcher"", ""target"": ""Lands"", ""value"":0.028000000001008003},","{""source"": ""Belcher"", ""target"": ""Lands"", ""value"":0.0007840000000564482},"
Bomberman,LOAM,43.66666667,1,0.02238806,"{""source"": ""Bomberman"", ""target"": ""LOAM"", ""value"":0.02238805970132546},","{""source"": ""Bomberman"", ""target"": ""LOAM"", ""value"":0.0005012252171901131},"
BUG Midrange,Cloudpost Ramp,46,1,0.021276596,"{""source"": ""BUG Midrange"", ""target"": ""Cloudpost Ramp"", ""value"":0.021276595745133547},","{""source"": ""BUG Midrange"", ""target"": ""Cloudpost Ramp"", ""value"":0.00045269352650183497},"
Burn,Canadian Threshold,35.25,1,0.027586207,"{""source"": ""Burn"", ""target"": ""Canadian Threshold"", ""value"":0.027586206896551724},","{""source"": ""Burn"", ""target"": ""Canadian Threshold"", ""value"":0.0007609988109393579},"
