0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,BUG Midrange,3.5,2.0,0.36363636363636365,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.36363636363636365},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.1322314049586777},"
4-c Control,Canadian Threshold,4.0,1.0,0.2,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.2},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.04000000000000001},"
4-c Control,Delver (Other),4.0,1.0,0.2,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.2},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.04000000000000001},"
4-c Control,Grixis Control,2.125,2.875,0.575,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.575},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.33062499999999995},"
4-c Control,Junk,13.0,1.0,0.07142857142857142,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.07142857142857142},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.00510204081632653},"
4-c Control,Legacy Landstill,1.0,3.0,0.75,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.75},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.5625},"
4-c Control,LOAM,7.0,1.0,0.125,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.125},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.015625},"
4-c Control,Stoneblade,6.8,2.2,0.24444444444444446,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.24444444444444446},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.0597530864197531},"
4-c Control,UWx Control,2.3125,2.75,0.5432098765432098,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.5432098765432098},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.2950769699740893},"
Arclight Phoenix,Dark Depths,5.199999999999999,1.6,0.23529411764705888,"{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"":0.23529411764705888},","{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"":0.05536332179930798},"
Arclight Phoenix,Grixis Control,7.275,1.0,0.12084592145015105,"{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"":0.12084592145015105},","{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"":0.014603736731136078},"
Arclight Phoenix,Junk,13.2,1.6,0.10810810810810813,"{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"":0.10810810810810813},","{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"":0.011687363038714394},"
Arclight Phoenix,LOAM,7.199999999999999,1.6,0.18181818181818185,"{""source"": ""Arclight Phoenix"", ""target"": ""LOAM"", ""value"":0.18181818181818185},","{""source"": ""Arclight Phoenix"", ""target"": ""LOAM"", ""value"":0.033057851239669436},"
Arclight Phoenix,Pikula,9.7,1.6,0.14159292035398233,"{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"":0.14159292035398233},","{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"":0.020048555094369182},"
Arclight Phoenix,Zombie Bombardment,4.199999999999999,1.6,0.27586206896551724,"{""source"": ""Arclight Phoenix"", ""target"": ""Zombie Bombardment"", ""value"":0.27586206896551724},","{""source"": ""Arclight Phoenix"", ""target"": ""Zombie Bombardment"", ""value"":0.07609988109393578},"
BUG Midrange,Canadian Threshold,2.0,1.75,0.4666666666666667,"{""source"": ""BUG Midrange"", ""target"": ""Canadian Threshold"", ""value"":0.4666666666666667},","{""source"": ""BUG Midrange"", ""target"": ""Canadian Threshold"", ""value"":0.2177777777777778},"
BUG Midrange,Delver (Other),1.5,2.0,0.5714285714285714,"{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"":0.5714285714285714},","{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"":0.32653061224489793},"
BUG Midrange,Grixis Control,5.375,1.0,0.1568627450980392,"{""source"": ""BUG Midrange"", ""target"": ""Grixis Control"", ""value"":0.1568627450980392},","{""source"": ""BUG Midrange"", ""target"": ""Grixis Control"", ""value"":0.024605920799692427},"
BUG Midrange,Junk,10.5,2.0,0.16,"{""source"": ""BUG Midrange"", ""target"": ""Junk"", ""value"":0.16},","{""source"": ""BUG Midrange"", ""target"": ""Junk"", ""value"":0.0256},"
BUG Midrange,Legacy Landstill,4.5,1.0,0.18181818181818182,"{""source"": ""BUG Midrange"", ""target"": ""Legacy Landstill"", ""value"":0.18181818181818182},","{""source"": ""BUG Midrange"", ""target"": ""Legacy Landstill"", ""value"":0.03305785123966942},"
BUG Midrange,LOAM,6.5,1.0,0.13333333333333333,"{""source"": ""BUG Midrange"", ""target"": ""LOAM"", ""value"":0.13333333333333333},","{""source"": ""BUG Midrange"", ""target"": ""LOAM"", ""value"":0.017777777777777778},"
BUG Midrange,Stoneblade,8.7,1.0,0.10309278350515465,"{""source"": ""BUG Midrange"", ""target"": ""Stoneblade"", ""value"":0.10309278350515465},","{""source"": ""BUG Midrange"", ""target"": ""Stoneblade"", ""value"":0.010628122010840686},"
BUG Midrange,UWx Control,5.3125,1.0,0.15841584158415842,"{""source"": ""BUG Midrange"", ""target"": ""UWx Control"", ""value"":0.15841584158415842},","{""source"": ""BUG Midrange"", ""target"": ""UWx Control"", ""value"":0.025095578864817177},"
Canadian Threshold,Delver (Other),0.5,1.75,0.7777777777777778,"{""source"": ""Canadian Threshold"", ""target"": ""Delver (Other)"", ""value"":0.7777777777777778},","{""source"": ""Canadian Threshold"", ""target"": ""Delver (Other)"", ""value"":0.6049382716049383},"
Canadian Threshold,Junk,9.5,1.75,0.15555555555555556,"{""source"": ""Canadian Threshold"", ""target"": ""Junk"", ""value"":0.15555555555555556},","{""source"": ""Canadian Threshold"", ""target"": ""Junk"", ""value"":0.02419753086419753},"
Canadian Threshold,LOAM,5.0,1.0,0.16666666666666666,"{""source"": ""Canadian Threshold"", ""target"": ""LOAM"", ""value"":0.16666666666666666},","{""source"": ""Canadian Threshold"", ""target"": ""LOAM"", ""value"":0.027777777777777776},"
Cloudpost Ramp,Eldrazi Aggro,2.3333333329999997,1.0,0.30000000002999994,"{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"":0.30000000002999994},","{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"":0.09000000001799996},"
Cloudpost Ramp,Sneak & Show,4.871794871,1.0,0.17030567687894968,"{""source"": ""Cloudpost Ramp"", ""target"": ""Sneak & Show"", ""value"":0.17030567687894968},","{""source"": ""Cloudpost Ramp"", ""target"": ""Sneak & Show"", ""value"":0.029004023577197214},"
Dark Depths,Junk,8.0,3.0,0.2727272727272727,"{""source"": ""Dark Depths"", ""target"": ""Junk"", ""value"":0.2727272727272727},","{""source"": ""Dark Depths"", ""target"": ""Junk"", ""value"":0.07438016528925619},"
Dark Depths,LOAM,2.0,3.0,0.6,"{""source"": ""Dark Depths"", ""target"": ""LOAM"", ""value"":0.6},","{""source"": ""Dark Depths"", ""target"": ""LOAM"", ""value"":0.36},"
Dark Depths,Pikula,4.5,3.0,0.4,"{""source"": ""Dark Depths"", ""target"": ""Pikula"", ""value"":0.4},","{""source"": ""Dark Depths"", ""target"": ""Pikula"", ""value"":0.16000000000000003},"
Dark Depths,Zombie Bombardment,1.0,2.0,0.6666666666666666,"{""source"": ""Dark Depths"", ""target"": ""Zombie Bombardment"", ""value"":0.6666666666666666},","{""source"": ""Dark Depths"", ""target"": ""Zombie Bombardment"", ""value"":0.4444444444444444},"
Death and taxes,Junk,9.3,3.9,0.2954545454545454,"{""source"": ""Death and taxes"", ""target"": ""Junk"", ""value"":0.2954545454545454},","{""source"": ""Death and taxes"", ""target"": ""Junk"", ""value"":0.08729338842975204},"
Death and taxes,Maverick,7.699999999999999,2.2,0.22222222222222218,"{""source"": ""Death and taxes"", ""target"": ""Maverick"", ""value"":0.22222222222222218},","{""source"": ""Death and taxes"", ""target"": ""Maverick"", ""value"":0.0493827160493827},"
Death and taxes,Pikula,6.6,3.5,0.3465346534653465,"{""source"": ""Death and taxes"", ""target"": ""Pikula"", ""value"":0.3465346534653465},","{""source"": ""Death and taxes"", ""target"": ""Pikula"", ""value"":0.12008626605234779},"
Death and taxes,Stoneblade,5.5,3.9,0.4148936170212766,"{""source"": ""Death and taxes"", ""target"": ""Stoneblade"", ""value"":0.4148936170212766},","{""source"": ""Death and taxes"", ""target"": ""Stoneblade"", ""value"":0.17213671344499773},"
Delver (Other),Junk,9.0,2.0,0.18181818181818182,"{""source"": ""Delver (Other)"", ""target"": ""Junk"", ""value"":0.18181818181818182},","{""source"": ""Delver (Other)"", ""target"": ""Junk"", ""value"":0.03305785123966942},"
Delver (Other),LOAM,5.0,1.0,0.16666666666666666,"{""source"": ""Delver (Other)"", ""target"": ""LOAM"", ""value"":0.16666666666666666},","{""source"": ""Delver (Other)"", ""target"": ""LOAM"", ""value"":0.027777777777777776},"
Grixis Control,Legacy Landstill,1.125,2.875,0.71875,"{""source"": ""Grixis Control"", ""target"": ""Legacy Landstill"", ""value"":0.71875},","{""source"": ""Grixis Control"", ""target"": ""Legacy Landstill"", ""value"":0.5166015625},"
Grixis Control,Stoneblade,6.675,2.2,0.247887323943662,"{""source"": ""Grixis Control"", ""target"": ""Stoneblade"", ""value"":0.247887323943662},","{""source"": ""Grixis Control"", ""target"": ""Stoneblade"", ""value"":0.061448125371950026},"
Grixis Control,UWx Control,2.1875,2.75,0.5569620253164557,"{""source"": ""Grixis Control"", ""target"": ""UWx Control"", ""value"":0.5569620253164557},","{""source"": ""Grixis Control"", ""target"": ""UWx Control"", ""value"":0.3102066976446082},"
Humans,Infect,5.0,4.0,0.4444444444444444,"{""source"": ""Humans"", ""target"": ""Infect"", ""value"":0.4444444444444444},","{""source"": ""Humans"", ""target"": ""Infect"", ""value"":0.19753086419753085},"
Humans,Maverick,7.0,4.0,0.36363636363636365,"{""source"": ""Humans"", ""target"": ""Maverick"", ""value"":0.36363636363636365},","{""source"": ""Humans"", ""target"": ""Maverick"", ""value"":0.1322314049586777},"
Infect,Maverick,2.0,4.0,0.6666666666666666,"{""source"": ""Infect"", ""target"": ""Maverick"", ""value"":0.6666666666666666},","{""source"": ""Infect"", ""target"": ""Maverick"", ""value"":0.4444444444444444},"
Junk,LOAM,8.0,4.0,0.3333333333333333,"{""source"": ""Junk"", ""target"": ""LOAM"", ""value"":0.3333333333333333},","{""source"": ""Junk"", ""target"": ""LOAM"", ""value"":0.1111111111111111},"
Junk,Maverick,13.0,2.0,0.13333333333333333,"{""source"": ""Junk"", ""target"": ""Maverick"", ""value"":0.13333333333333333},","{""source"": ""Junk"", ""target"": ""Maverick"", ""value"":0.017777777777777778},"
Junk,Pikula,5.5,6.5,0.5416666666666666,"{""source"": ""Junk"", ""target"": ""Pikula"", ""value"":0.5416666666666666},","{""source"": ""Junk"", ""target"": ""Pikula"", ""value"":0.29340277777777773},"
Junk,Stoneblade,10.2,4.0,0.28169014084507044,"{""source"": ""Junk"", ""target"": ""Stoneblade"", ""value"":0.28169014084507044},","{""source"": ""Junk"", ""target"": ""Stoneblade"", ""value"":0.07934933544931562},"
Junk,Zombie Bombardment,9.0,2.0,0.18181818181818182,"{""source"": ""Junk"", ""target"": ""Zombie Bombardment"", ""value"":0.18181818181818182},","{""source"": ""Junk"", ""target"": ""Zombie Bombardment"", ""value"":0.03305785123966942},"
Legacy Landstill,Stoneblade,5.8,2.2,0.2750000000000001,"{""source"": ""Legacy Landstill"", ""target"": ""Stoneblade"", ""value"":0.2750000000000001},","{""source"": ""Legacy Landstill"", ""target"": ""Stoneblade"", ""value"":0.07562500000000004},"
Legacy Landstill,UWx Control,1.3125,2.75,0.676923076923077,"{""source"": ""Legacy Landstill"", ""target"": ""UWx Control"", ""value"":0.676923076923077},","{""source"": ""Legacy Landstill"", ""target"": ""UWx Control"", ""value"":0.458224852071006},"
LOAM,Pikula,4.5,4.0,0.47058823529411764,"{""source"": ""LOAM"", ""target"": ""Pikula"", ""value"":0.47058823529411764},","{""source"": ""LOAM"", ""target"": ""Pikula"", ""value"":0.22145328719723184},"
LOAM,Zombie Bombardment,3.0,2.0,0.4,"{""source"": ""LOAM"", ""target"": ""Zombie Bombardment"", ""value"":0.4},","{""source"": ""LOAM"", ""target"": ""Zombie Bombardment"", ""value"":0.16000000000000003},"
Maverick,Pikula,9.5,2.0,0.17391304347826086,"{""source"": ""Maverick"", ""target"": ""Pikula"", ""value"":0.17391304347826086},","{""source"": ""Maverick"", ""target"": ""Pikula"", ""value"":0.030245746691871453},"
Maverick,Stoneblade,9.2,2.0,0.17857142857142858,"{""source"": ""Maverick"", ""target"": ""Stoneblade"", ""value"":0.17857142857142858},","{""source"": ""Maverick"", ""target"": ""Stoneblade"", ""value"":0.03188775510204082},"
Merfolk,Stoneblade,6.2,1.0,0.1388888888888889,"{""source"": ""Merfolk"", ""target"": ""Stoneblade"", ""value"":0.1388888888888889},","{""source"": ""Merfolk"", ""target"": ""Stoneblade"", ""value"":0.019290123456790126},"
Pikula,Stoneblade,7.7,3.5,0.3125,"{""source"": ""Pikula"", ""target"": ""Stoneblade"", ""value"":0.3125},","{""source"": ""Pikula"", ""target"": ""Stoneblade"", ""value"":0.09765625},"
Pikula,Zombie Bombardment,5.5,2.0,0.26666666666666666,"{""source"": ""Pikula"", ""target"": ""Zombie Bombardment"", ""value"":0.26666666666666666},","{""source"": ""Pikula"", ""target"": ""Zombie Bombardment"", ""value"":0.07111111111111111},"
Stoneblade,UWx Control,4.4875,3.2625,0.4209677419354839,"{""source"": ""Stoneblade"", ""target"": ""UWx Control"", ""value"":0.4209677419354839},","{""source"": ""Stoneblade"", ""target"": ""UWx Control"", ""value"":0.1772138397502602},"
