0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,BUG Midrange,1.5,2.5,0.625,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.625},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.390625},"
4-c Control,Dark Depths,2.277777778,1.222222222,0.34920634914285714,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.34920634914285714},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.12194507428168304},"
4-c Control,Death's Shadow,2.5,1.0,0.2857142857142857,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.2857142857142857},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.08163265306122448},"
4-c Control,Delver (Other),2.5,1.5,0.375,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.375},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.140625},"
4-c Control,Food Chain,2.5,1.0,0.2857142857142857,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.2857142857142857},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.08163265306122448},"
4-c Control,Grixis Control,0.375,3.375,0.9,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.9},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.81},"
4-c Control,Junk,4.5,1.0,0.18181818181818182,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.18181818181818182},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.03305785123966942},"
4-c Control,Legacy Landstill,2.5,2.0,0.4444444444444444,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.4444444444444444},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.19753086419753085},"
4-c Control,Pikula,5.0,1.5,0.23076923076923078,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.23076923076923078},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.053254437869822494},"
