0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,65.5,11.0,0.1437908496732026,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.1437908496732026},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.02067580844974155},"
4-c Control,Arclight Phoenix,50.100000000000016,19.5,0.28017241379310337,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.28017241379310337},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.07849658145065394},"
4-c Control,BUG Midrange,32.0,31.5,0.49606299212598426,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.49606299212598426},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.24607849215698432},"
4-c Control,Burn,65.166666667,2.1666666660000002,0.03217821781204049,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.03217821781204049},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.00103543770155912},"
4-c Control,Canadian Threshold,49.25,16.25,0.2480916030534351,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.2480916030534351},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.06154944350562321},"
4-c Control,Cloudpost Ramp,85.166666664,1.6666666669999999,0.019193857969805595,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.019193857969805595},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.00036840418376506975},"
4-c Control,Dark Depths,66.166666666,11.499999999,0.14806866951819891,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.14806866951819891},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.02192433089288961},"
4-c Control,Death and taxes,90.00000000000003,1.9000000000000001,0.020674646354733404,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.020674646354733404},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0004274410018932912},"
4-c Control,Death's Shadow,47.300000000000004,19.4,0.29085457271364307,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.29085457271364307},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.08459638246843589},"
4-c Control,Delver (Other),36.5,24.5,0.4016393442622951,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.4016393442622951},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.16131416285944639},"
4-c Control,Doomsday,46.5,15.5,0.25,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.25},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.0625},"
4-c Control,Dredge,64.0,2.0,0.030303030303030304,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.030303030303030304},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0009182736455463729},"
4-c Control,Elves,73.16666666900001,7.5,0.09297520660888087,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.09297520660888087},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.008644389043964085},"
4-c Control,Food Chain,34.5,30.5,0.46923076923076923,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.46923076923076923},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.2201775147928994},"
4-c Control,Goblins,78.0,2.0,0.025,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.025},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0006250000000000001},"
4-c Control,Grixis Control,23.75,34.625,0.5931477516059958,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.5931477516059958},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.351824255235248},"
4-c Control,Grixis Delver,41.0,21.25,0.3413654618473896,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.3413654618473896},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.1165303785422816},"
4-c Control,Humans,87.5,2.5,0.027777777777777776,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.027777777777777776},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.0007716049382716049},"
4-c Control,Infect,53.0,17.0,0.24285714285714285,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.24285714285714285},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.05897959183673469},"
4-c Control,Junk,79.5,12.0,0.13114754098360656,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.13114754098360656},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.017199677506046764},"
4-c Control,Lands,93.785714287,1.2857142860000002,0.013523666419010129,"{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.013523666419010129},","{""source"": ""4-c Control"", ""target"": ""Lands"", ""value"":0.00018288955341266223},"
4-c Control,Legacy Landstill,56.5,14.5,0.20422535211267606,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.20422535211267606},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.04170799444554652},"
4-c Control,LOAM,89.166666668,6.333333333,0.06631762652286578,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.06631762652286578},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.004398027587626311},"
4-c Control,Maverick,93.5,2.666666666,0.027729636041786687,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.027729636041786687},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.0007689327150099553},"
4-c Control,Merfolk,73.5,7.5,0.09259259259259259,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.09259259259259259},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.008573388203017831},"
4-c Control,Nic Fit,70.166666667,8.666666666,0.1099365750448623,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.1099365750448623},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.012086050532594641},"
4-c Control,Painter,71.5,6.0,0.07741935483870968,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.07741935483870968},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.00599375650364204},"
4-c Control,Pikula,82.5,10.0,0.10810810810810811,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.10810810810810811},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.011687363038714392},"
