0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,14.0,4.0,0.2222222222222222,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.2222222222222222},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.04938271604938271},"
4-c Control,BUG Midrange,1.5,3.5,0.7,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.7},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.48999999999999994},"
4-c Control,Food Chain,4.0,4.0,0.5,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.5},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.25},"
4-c Control,Grixis Control,2.25,3.375,0.6,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.6},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.36},"
Affinity,Antiquities War,29.0,13.0,0.30952380952380953,"{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.30952380952380953},","{""source"": ""Affinity"", ""target"": ""Antiquities War"", ""value"":0.09580498866213152},"
Affinity,Arclight Phoenix,36.0,2.2,0.05759162303664921,"{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.05759162303664921},","{""source"": ""Affinity"", ""target"": ""Arclight Phoenix"", ""value"":0.0033167950439955043},"
Affinity,Belcher,41.0,4.0,0.08888888888888889,"{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.08888888888888889},","{""source"": ""Affinity"", ""target"": ""Belcher"", ""value"":0.007901234567901235},"
Affinity,Bomberman,28.0,18.0,0.391304347826087,"{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.391304347826087},","{""source"": ""Affinity"", ""target"": ""Bomberman"", ""value"":0.15311909262759926},"
Affinity,Burn,35.833333333,1.5,0.040178571428930165,"{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.040178571428930165},","{""source"": ""Affinity"", ""target"": ""Burn"", ""value"":0.0016143176020696434},"
Affinity,Cloudpost Ramp,42.666666666,4.0,0.08571428571551021,"{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.08571428571551021},","{""source"": ""Affinity"", ""target"": ""Cloudpost Ramp"", ""value"":0.007346938775720117},"
Affinity,Dark Depths,37.666666666,1.6666666669999999,0.04237288136476587,"{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.04237288136476587},","{""source"": ""Affinity"", ""target"": ""Dark Depths"", ""value"":0.0017954610751525228},"
Affinity,Death and taxes,42.300000000000004,1.7999999999999998,0.040816326530612235,"{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.040816326530612235},","{""source"": ""Affinity"", ""target"": ""Death and taxes"", ""value"":0.0016659725114535602},"
Affinity,Doomsday,37.0,4.0,0.0975609756097561,"{""source"": ""Affinity"", ""target"": ""Doomsday"", ""value"":0.0975609756097561},","{""source"": ""Affinity"", ""target"": ""Doomsday"", ""value"":0.009518143961927425},"
Affinity,Dragon Stompy,36.666666667,8.0,0.1791044776106037,"{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":0.1791044776106037},","{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":0.03207841390016724},"
Affinity,Dredge,38.0,1.0,0.02564102564102564,"{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.02564102564102564},","{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.0006574621959237343},"
Affinity,Eldrazi Aggro,29.6,10.600000000000001,0.263681592039801,"{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.263681592039801},","{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.06952798198064405},"
