0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,7.5,6.0,0.4444444444444444,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.4444444444444444},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.19753086419753085},"
4-c Control,Arclight Phoenix,11.5,5.2,0.311377245508982,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.311377245508982},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.09695578902076085},"
4-c Control,BUG Midrange,6.0,8.5,0.5862068965517241,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.5862068965517241},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.34363852556480373},"
4-c Control,Canadian Threshold,6.25,7.25,0.5370370370370371,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.5370370370370371},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.28840877914951996},"
4-c Control,Cloudpost Ramp,11.833333333,1.6666666669999999,0.12345679014814814,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.12345679014814814},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.015241579033683889},"
4-c Control,Dark Depths,10.277777777999999,3.333333333,0.2448979591611829,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.2448979591611829},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.05997501040131241},"
4-c Control,Death and taxes,13.299999999999999,1.4,0.09523809523809525,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.09523809523809525},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0090702947845805},"
4-c Control,Death's Shadow,6.1,7.4,0.5481481481481483,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.5481481481481483},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.3004663923182443},"
4-c Control,Delver (Other),6.5,7.0,0.5185185185185185,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.5185185185185185},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.2688614540466392},"
4-c Control,Doomsday,13.5,2.0,0.12903225806451613,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.12903225806451613},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.016649323621227886},"
4-c Control,Dredge,13.0,2.0,0.13333333333333333,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.13333333333333333},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.017777777777777778},"
4-c Control,Food Chain,5.0,9.0,0.6428571428571429,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.6428571428571429},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.41326530612244905},"
4-c Control,Goblins,12.5,1.0,0.07407407407407407,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.07407407407407407},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.0054869684499314125},"
4-c Control,Grixis Control,3.375,10.125,0.75,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.75},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.5625},"
4-c Control,Grixis Delver,5.25,8.25,0.6111111111111112,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.6111111111111112},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.37345679012345684},"
4-c Control,Humans,11.5,2.5,0.17857142857142858,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.17857142857142858},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.03188775510204082},"
4-c Control,Infect,8.0,7.5,0.4838709677419355,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.4838709677419355},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.2341311134235172},"
4-c Control,Junk,12.5,3.5,0.21875,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.21875},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.0478515625},"
4-c Control,Legacy Landstill,5.5,8.0,0.5925925925925926,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.5925925925925926},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.3511659807956104},"
