0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,4.0,1.0,0.2,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.2},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.04000000000000001},"
4-c Control,Arclight Phoenix,3.0,3.0,0.5,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.5},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.25},"
4-c Control,BUG Midrange,5.0,2.5,0.3333333333333333,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.3333333333333333},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.1111111111111111},"
4-c Control,Dark Depths,2.4444444450000002,3.2777777770000003,0.5728155338669055,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.5728155338669055},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.328117635839228},"
4-c Control,Death's Shadow,4.2,2.7,0.39130434782608703,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.39130434782608703},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.1531190926275993},"
4-c Control,Delver (Other),0.5,3.5,0.875,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.875},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.765625},"
4-c Control,Doomsday,3.0,2.5,0.45454545454545453,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.45454545454545453},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.20661157024793386},"
4-c Control,Elves,10.333333333999999,2.5,0.19480519479507508,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.19480519479507508},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.037949063919147145},"
4-c Control,Food Chain,1.0,3.0,0.75,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.75},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.5625},"
4-c Control,Grixis Control,1.125,2.875,0.71875,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.71875},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.5166015625},"
4-c Control,Grixis Delver,1.0,3.0,0.75,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.75},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.5625},"
4-c Control,Infect,4.5,1.5,0.25,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.25},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.0625},"
4-c Control,Junk,3.0,4.0,0.5714285714285714,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.5714285714285714},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.32653061224489793},"
4-c Control,Nic Fit,5.333333333000001,1.6666666659999998,0.23809523803401358,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.23809523803401358},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.05668934237447359},"
4-c Control,Pikula,5.5,4.0,0.42105263157894735,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.42105263157894735},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.17728531855955676},"
4-c Control,Reanimator,10.000000000999998,1.8333333330000001,0.15492957742789132,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.15492957742789132},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.02400317396198497},"
4-c Control,Storm,8.444444444999998,2.5,0.2284263959274911,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.2284263959274911},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.052178618356422915},"
4-c Control,Zombie Bombardment,6.0,1.5,0.2,"{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.2},","{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.04000000000000001},"
Antiquities War,BUG Midrange,6.0,1.0,0.14285714285714285,"{""source"": ""Antiquities War"", ""target"": ""BUG Midrange"", ""value"":0.14285714285714285},","{""source"": ""Antiquities War"", ""target"": ""BUG Midrange"", ""value"":0.02040816326530612},"
Antiquities War,Delver (Other),3.5,1.0,0.2222222222222222,"{""source"": ""Antiquities War"", ""target"": ""Delver (Other)"", ""value"":0.2222222222222222},","{""source"": ""Antiquities War"", ""target"": ""Delver (Other)"", ""value"":0.04938271604938271},"
Antiquities War,Junk,5.0,2.0,0.2857142857142857,"{""source"": ""Antiquities War"", ""target"": ""Junk"", ""value"":0.2857142857142857},","{""source"": ""Antiquities War"", ""target"": ""Junk"", ""value"":0.08163265306122448},"
Antiquities War,Pikula,8.5,1.5,0.15,"{""source"": ""Antiquities War"", ""target"": ""Pikula"", ""value"":0.15},","{""source"": ""Antiquities War"", ""target"": ""Pikula"", ""value"":0.0225},"
Arclight Phoenix,BUG Midrange,7.4,1.8,0.1956521739130435,"{""source"": ""Arclight Phoenix"", ""target"": ""BUG Midrange"", ""value"":0.1956521739130435},","{""source"": ""Arclight Phoenix"", ""target"": ""BUG Midrange"", ""value"":0.038279773156899816},"
Arclight Phoenix,Dark Depths,3.333333333,3.333333333,0.49999999999999994,"{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"":0.49999999999999994},","{""source"": ""Arclight Phoenix"", ""target"": ""Dark Depths"", ""value"":0.24999999999999994},"
Arclight Phoenix,Death's Shadow,4.6000000000000005,3.0,0.39473684210526316,"{""source"": ""Arclight Phoenix"", ""target"": ""Death's Shadow"", ""value"":0.39473684210526316},","{""source"": ""Arclight Phoenix"", ""target"": ""Death's Shadow"", ""value"":0.15581717451523547},"
Arclight Phoenix,Delver (Other),3.5,2.5,0.4166666666666667,"{""source"": ""Arclight Phoenix"", ""target"": ""Delver (Other)"", ""value"":0.4166666666666667},","{""source"": ""Arclight Phoenix"", ""target"": ""Delver (Other)"", ""value"":0.17361111111111113},"
Arclight Phoenix,Doomsday,3.0,3.0,0.5,"{""source"": ""Arclight Phoenix"", ""target"": ""Doomsday"", ""value"":0.5},","{""source"": ""Arclight Phoenix"", ""target"": ""Doomsday"", ""value"":0.25},"
Arclight Phoenix,Elves,10.999999999999998,2.666666667,0.19512195123914342,"{""source"": ""Arclight Phoenix"", ""target"": ""Elves"", ""value"":0.19512195123914342},","{""source"": ""Arclight Phoenix"", ""target"": ""Elves"", ""value"":0.03807257585537066},"
Arclight Phoenix,Food Chain,3.0,2.5,0.45454545454545453,"{""source"": ""Arclight Phoenix"", ""target"": ""Food Chain"", ""value"":0.45454545454545453},","{""source"": ""Arclight Phoenix"", ""target"": ""Food Chain"", ""value"":0.20661157024793386},"
Arclight Phoenix,Grixis Control,3.125,2.375,0.4318181818181818,"{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"":0.4318181818181818},","{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Control"", ""value"":0.18646694214876033},"
Arclight Phoenix,Grixis Delver,2.0,3.0,0.6,"{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Delver"", ""value"":0.6},","{""source"": ""Arclight Phoenix"", ""target"": ""Grixis Delver"", ""value"":0.36},"
Arclight Phoenix,Infect,4.9,1.8,0.26865671641791045,"{""source"": ""Arclight Phoenix"", ""target"": ""Infect"", ""value"":0.26865671641791045},","{""source"": ""Arclight Phoenix"", ""target"": ""Infect"", ""value"":0.07217643127645355},"
Arclight Phoenix,Junk,4.4,3.8,0.4634146341463415,"{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"":0.4634146341463415},","{""source"": ""Arclight Phoenix"", ""target"": ""Junk"", ""value"":0.21475312314098752},"
Arclight Phoenix,Nic Fit,6.999999999,1.333333333,0.15999999998560002,"{""source"": ""Arclight Phoenix"", ""target"": ""Nic Fit"", ""value"":0.15999999998560002},","{""source"": ""Arclight Phoenix"", ""target"": ""Nic Fit"", ""value"":0.025599999995392007},"
Arclight Phoenix,Pikula,6.9,3.8,0.35514018691588783,"{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"":0.35514018691588783},","{""source"": ""Arclight Phoenix"", ""target"": ""Pikula"", ""value"":0.12612455236265174},"
Arclight Phoenix,Reanimator,11.000000001,1.8333333330000001,0.1428571428237477,"{""source"": ""Arclight Phoenix"", ""target"": ""Reanimator"", ""value"":0.1428571428237477},","{""source"": ""Arclight Phoenix"", ""target"": ""Reanimator"", ""value"":0.02040816325576465},"
Arclight Phoenix,Storm,6.444444445,4.0,0.38297872338388417,"{""source"": ""Arclight Phoenix"", ""target"": ""Storm"", ""value"":0.38297872338388417},","{""source"": ""Arclight Phoenix"", ""target"": ""Storm"", ""value"":0.14667270256474965},"
Arclight Phoenix,Zombie Bombardment,6.4,1.8,0.21951219512195125,"{""source"": ""Arclight Phoenix"", ""target"": ""Zombie Bombardment"", ""value"":0.21951219512195125},","{""source"": ""Arclight Phoenix"", ""target"": ""Zombie Bombardment"", ""value"":0.048185603807257595},"
Belcher,Storm,9.444444445,1.0,0.09574468084597104,"{""source"": ""Belcher"", ""target"": ""Storm"", ""value"":0.09574468084597104},","{""source"": ""Belcher"", ""target"": ""Storm"", ""value"":0.009167043910296853},"
BUG Midrange,Dark Depths,7.444444445,1.777777777,0.19277108425765715,"{""source"": ""BUG Midrange"", ""target"": ""Dark Depths"", ""value"":0.19277108425765715},","{""source"": ""BUG Midrange"", ""target"": ""Dark Depths"", ""value"":0.03716069092587276},"
BUG Midrange,Death's Shadow,9.200000000000001,1.2,0.11538461538461538,"{""source"": ""BUG Midrange"", ""target"": ""Death's Shadow"", ""value"":0.11538461538461538},","{""source"": ""BUG Midrange"", ""target"": ""Death's Shadow"", ""value"":0.01331360946745562},"
BUG Midrange,Delver (Other),4.5,2.5,0.35714285714285715,"{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"":0.35714285714285715},","{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"":0.12755102040816327},"
BUG Midrange,Doomsday,8.0,1.0,0.1111111111111111,"{""source"": ""BUG Midrange"", ""target"": ""Doomsday"", ""value"":0.1111111111111111},","{""source"": ""BUG Midrange"", ""target"": ""Doomsday"", ""value"":0.012345679012345678},"
BUG Midrange,Elves,15.333333333999999,1.0,0.061224489793419413,"{""source"": ""BUG Midrange"", ""target"": ""Elves"", ""value"":0.061224489793419413},","{""source"": ""BUG Midrange"", ""target"": ""Elves"", ""value"":0.003748438150464518},"
BUG Midrange,Food Chain,6.0,1.5,0.2,"{""source"": ""BUG Midrange"", ""target"": ""Food Chain"", ""value"":0.2},","{""source"": ""BUG Midrange"", ""target"": ""Food Chain"", ""value"":0.04000000000000001},"
BUG Midrange,Grixis Control,5.125,1.875,0.26785714285714285,"{""source"": ""BUG Midrange"", ""target"": ""Grixis Control"", ""value"":0.26785714285714285},","{""source"": ""BUG Midrange"", ""target"": ""Grixis Control"", ""value"":0.07174744897959183},"
BUG Midrange,Grixis Delver,6.0,1.5,0.2,"{""source"": ""BUG Midrange"", ""target"": ""Grixis Delver"", ""value"":0.2},","{""source"": ""BUG Midrange"", ""target"": ""Grixis Delver"", ""value"":0.04000000000000001},"
BUG Midrange,Infect,5.5,2.0,0.26666666666666666,"{""source"": ""BUG Midrange"", ""target"": ""Infect"", ""value"":0.26666666666666666},","{""source"": ""BUG Midrange"", ""target"": ""Infect"", ""value"":0.07111111111111111},"
BUG Midrange,Junk,7.0,3.0,0.3,"{""source"": ""BUG Midrange"", ""target"": ""Junk"", ""value"":0.3},","{""source"": ""BUG Midrange"", ""target"": ""Junk"", ""value"":0.09},"
BUG Midrange,Nic Fit,5.999999998999999,2.333333333,0.2800000000048001,"{""source"": ""BUG Midrange"", ""target"": ""Nic Fit"", ""value"":0.2800000000048001},","{""source"": ""BUG Midrange"", ""target"": ""Nic Fit"", ""value"":0.07840000000268804},"
BUG Midrange,Pikula,6.5,4.5,0.4090909090909091,"{""source"": ""BUG Midrange"", ""target"": ""Pikula"", ""value"":0.4090909090909091},","{""source"": ""BUG Midrange"", ""target"": ""Pikula"", ""value"":0.16735537190082647},"
BUG Midrange,Reanimator,12.333333333,1.6666666669999999,0.11904761907142856,"{""source"": ""BUG Midrange"", ""target"": ""Reanimator"", ""value"":0.11904761907142856},","{""source"": ""BUG Midrange"", ""target"": ""Reanimator"", ""value"":0.014172335606575963},"
BUG Midrange,Storm,13.444444444999998,1.0,0.06923076922810652,"{""source"": ""BUG Midrange"", ""target"": ""Storm"", ""value"":0.06923076922810652},","{""source"": ""BUG Midrange"", ""target"": ""Storm"", ""value"":0.00479289940791534},"
BUG Midrange,Zombie Bombardment,3.0,4.0,0.5714285714285714,"{""source"": ""BUG Midrange"", ""target"": ""Zombie Bombardment"", ""value"":0.5714285714285714},","{""source"": ""BUG Midrange"", ""target"": ""Zombie Bombardment"", ""value"":0.32653061224489793},"
Cloudpost Ramp,Eldrazi Aggro,0.46666666700000015,1.333333333,0.7407407405555555,"{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"":0.7407407405555555},","{""source"": ""Cloudpost Ramp"", ""target"": ""Eldrazi Aggro"", ""value"":0.5486968447187928},"
Dark Depths,Death's Shadow,2.199999999,4.2,0.6562500001025392,"{""source"": ""Dark Depths"", ""target"": ""Death's Shadow"", ""value"":0.6562500001025392},","{""source"": ""Dark Depths"", ""target"": ""Death's Shadow"", ""value"":0.4306640626345827},"
Dark Depths,Delver (Other),2.9444444450000002,2.7777777770000003,0.4854368930868132,"{""source"": ""Dark Depths"", ""target"": ""Delver (Other)"", ""value"":0.4854368930868132},","{""source"": ""Dark Depths"", ""target"": ""Delver (Other)"", ""value"":0.23564897716977812},"
Dark Depths,Doomsday,0.9999999989999999,4.0,0.8000000001600001,"{""source"": ""Dark Depths"", ""target"": ""Doomsday"", ""value"":0.8000000001600001},","{""source"": ""Dark Depths"", ""target"": ""Doomsday"", ""value"":0.6400000002560001},"
Dark Depths,Elves,10.555555555000002,2.888888889,0.21487603307321906,"{""source"": ""Dark Depths"", ""target"": ""Elves"", ""value"":0.21487603307321906},","{""source"": ""Dark Depths"", ""target"": ""Elves"", ""value"":0.046171709589283134},"
