0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
Affinity,Dragon Stompy,0.0,4.0,1.0,"{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":1.0},","{""source"": ""Affinity"", ""target"": ""Dragon Stompy"", ""value"":1.0},"
Affinity,Dredge,2.0,2.0,0.5,"{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.5},","{""source"": ""Affinity"", ""target"": ""Dredge"", ""value"":0.25},"
Affinity,Eldrazi Aggro,1.6,2.4,0.6,"{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.6},","{""source"": ""Affinity"", ""target"": ""Eldrazi Aggro"", ""value"":0.36},"
Affinity,Elves,0.0,4.0,1.0,"{""source"": ""Affinity"", ""target"": ""Elves"", ""value"":1.0},","{""source"": ""Affinity"", ""target"": ""Elves"", ""value"":1.0},"
Affinity,Goblins,2.5,1.5,0.375,"{""source"": ""Affinity"", ""target"": ""Goblins"", ""value"":0.375},","{""source"": ""Affinity"", ""target"": ""Goblins"", ""value"":0.140625},"
Affinity,LOAM,0.3333333330000001,3.666666667,0.9166666667500001,"{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.9166666667500001},","{""source"": ""Affinity"", ""target"": ""LOAM"", ""value"":0.8402777779305557},"
Affinity,Nic Fit,1.3333333330000001,2.666666667,0.6666666667500001,"{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.6666666667500001},","{""source"": ""Affinity"", ""target"": ""Nic Fit"", ""value"":0.44444444455555565},"
Affinity,Slivers,0,4.0,1.0,"{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":1.0},","{""source"": ""Affinity"", ""target"": ""Slivers"", ""value"":1.0},"
Dragon Stompy,Dredge,2.0,2.0,0.5,"{""source"": ""Dragon Stompy"", ""target"": ""Dredge"", ""value"":0.5},","{""source"": ""Dragon Stompy"", ""target"": ""Dredge"", ""value"":0.25},"
Dragon Stompy,Eldrazi Aggro,1.6,2.4,0.6,"{""source"": ""Dragon Stompy"", ""target"": ""Eldrazi Aggro"", ""value"":0.6},","{""source"": ""Dragon Stompy"", ""target"": ""Eldrazi Aggro"", ""value"":0.36},"
Dragon Stompy,Elves,0.0,4.0,1.0,"{""source"": ""Dragon Stompy"", ""target"": ""Elves"", ""value"":1.0},","{""source"": ""Dragon Stompy"", ""target"": ""Elves"", ""value"":1.0},"
Dragon Stompy,Goblins,2.5,1.5,0.375,"{""source"": ""Dragon Stompy"", ""target"": ""Goblins"", ""value"":0.375},","{""source"": ""Dragon Stompy"", ""target"": ""Goblins"", ""value"":0.140625},"
Dragon Stompy,LOAM,0.3333333330000001,3.666666667,0.9166666667500001,"{""source"": ""Dragon Stompy"", ""target"": ""LOAM"", ""value"":0.9166666667500001},","{""source"": ""Dragon Stompy"", ""target"": ""LOAM"", ""value"":0.8402777779305557},"
Dragon Stompy,Nic Fit,1.3333333330000001,2.666666667,0.6666666667500001,"{""source"": ""Dragon Stompy"", ""target"": ""Nic Fit"", ""value"":0.6666666667500001},","{""source"": ""Dragon Stompy"", ""target"": ""Nic Fit"", ""value"":0.44444444455555565},"
