Card Name,4-c Control,Affinity,Antiquities War,Arclight Phoenix,Belcher,Bomberman,BUG Midrange,Burn,Canadian Threshold,Cloudpost Ramp,Dark Depths,Death and taxes,Death's Shadow,Delver (Other),Doomsday,Dragon Stompy,Dredge,Eldrazi Aggro,Elves,Food Chain,Goblins,Grixis Control,Grixis Delver,Humans,Infect,Junk,Lands,Legacy Landstill,LOAM,Maverick,Merfolk,MUD,Nic Fit,Painter,Pikula,Reanimator,Slivers,Sneak & Show,Stoneblade,Storm,UR Delver,UWx Control,Zombie Bombardment
Abrade,,,,0.8,,,,,0.25,,,,,,2,2.166666667,,,,,0.5,0.375,2,,,,,,,,,,,,,0.666666667,,1,,,2,,
Abrupt Decay,1.5,,,1,,,1.5,,,,2.777777778,,,1.5,,,,,2,3,,,,,1,3,,,3,,,,1.333333333,,,,,,,1.888888889,,,2
Academy Rector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.666666667,,,,,,,,,,
Academy Ruins,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Accumulated Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Act on Impulse,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Nauseam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Aether Spellbomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Aether Vial,,,,,,,,,,,,4,,,,,,,,,4,,,4,,,,,,,4,,,,,,4,,,,,,
Ajani Vengeant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,
All Is Dust,,,,,,,,,,1.333333333,,,,,,,,1.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Alms Collector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
Ancestral Vision,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Den,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Grudge,,,,0.8,,,,,1,,,,,,,,,,,,,,,,,,0.285714286,,,,,,,,,,,,,,0.1,,
Ancient Stirrings,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Tomb,,4,4,,,4,,,,2.333333333,,0.2,,,,4,,4,,,,,,,,,0.571428571,,,,,4,,4,,,,2.923076923,,,,,
Ancient Ziggurat,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,,,,,,
Animate Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,
Arcane Artisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Arcbound Ravager,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archetype of Endurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,,,,,,,
Archfiend of Despair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,
Archon of Valor's Reach,,,,,,,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,,,0.333333333,,,,,,,,,,
Arclight Phoenix,,,,3.8,,,,,,,,,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
