0,1,2,3,4,5,6
Deck A,Deck B,Different,Same,Jaccard,,
4-c Control,Antiquities War,21.5,6,0.218181818,"{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.21818181818181817},","{""source"": ""4-c Control"", ""target"": ""Antiquities War"", ""value"":0.047603305785123964},"
4-c Control,Arclight Phoenix,30.1,10.6,0.26044226,"{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.26044226044226026},","{""source"": ""4-c Control"", ""target"": ""Arclight Phoenix"", ""value"":0.06783017102427413},"
4-c Control,BUG Midrange,12,19,0.612903226,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.6129032258064516},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"":0.3756503642039542},"
4-c Control,Burn,40.83333333,2.5,0.057692308,"{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.05769230769142013},","{""source"": ""4-c Control"", ""target"": ""Burn"", ""value"":0.003328402366761494},"
4-c Control,Canadian Threshold,31.5,14.75,0.318918919,"{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.31891891891891894},","{""source"": ""4-c Control"", ""target"": ""Canadian Threshold"", ""value"":0.10170927684441199},"
4-c Control,Cloudpost Ramp,32.5,1.666666667,0.048780488,"{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.04878048781415823},","{""source"": ""4-c Control"", ""target"": ""Cloudpost Ramp"", ""value"":0.0023795359913872396},"
4-c Control,Dark Depths,28.83333333,4.944444444,0.146381579,"{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.14638157893758116},","{""source"": ""4-c Control"", ""target"": ""Dark Depths"", ""value"":0.021427566652259304},"
4-c Control,Death and taxes,32,1.4,0.041916168,"{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.041916167664670656},","{""source"": ""4-c Control"", ""target"": ""Death and taxes"", ""value"":0.0017569651116927818},"
4-c Control,Death's Shadow,21.3,15.1,0.414835165,"{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.41483516483516475},","{""source"": ""4-c Control"", ""target"": ""Death's Shadow"", ""value"":0.1720882139838183},"
4-c Control,Delver (Other),21,16,0.432432432,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.43243243243243246},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"":0.18699780861943027},"
4-c Control,Doomsday,34.5,8,0.188235294,"{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.18823529411764706},","{""source"": ""4-c Control"", ""target"": ""Doomsday"", ""value"":0.03543252595155709},"
4-c Control,Dredge,30.5,2,0.061538462,"{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.06153846153846154},","{""source"": ""4-c Control"", ""target"": ""Dredge"", ""value"":0.0037869822485207105},"
4-c Control,Elves,27.16666667,2.166666667,0.073863636,"{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.07386363637332127},","{""source"": ""4-c Control"", ""target"": ""Elves"", ""value"":0.0054558367782902295},"
4-c Control,Food Chain,13,17,0.566666667,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.5666666666666667},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"":0.32111111111111107},"
4-c Control,Goblins,29,2,0.064516129,"{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.06451612903225806},","{""source"": ""4-c Control"", ""target"": ""Goblins"", ""value"":0.004162330905306971},"
4-c Control,Grixis Control,9.75,20.75,0.680327869,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.680327868852459},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"":0.46284600913732865},"
4-c Control,Grixis Delver,22.5,18,0.444444444,"{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.4444444444444444},","{""source"": ""4-c Control"", ""target"": ""Grixis Delver"", ""value"":0.19753086419753085},"
4-c Control,Humans,27.5,2.5,0.083333333,"{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.08333333333333333},","{""source"": ""4-c Control"", ""target"": ""Humans"", ""value"":0.006944444444444444},"
4-c Control,Infect,28.5,14,0.329411765,"{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.32941176470588235},","{""source"": ""4-c Control"", ""target"": ""Infect"", ""value"":0.1085121107266436},"
4-c Control,Junk,31.5,5,0.136986301,"{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.136986301369863},","{""source"": ""4-c Control"", ""target"": ""Junk"", ""value"":0.01876524676299493},"
4-c Control,Legacy Landstill,25.5,12.5,0.328947368,"{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.32894736842105265},","{""source"": ""4-c Control"", ""target"": ""Legacy Landstill"", ""value"":0.10820637119113576},"
4-c Control,LOAM,32.16666667,2.5,0.072115385,"{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.07211538461469119},","{""source"": ""4-c Control"", ""target"": ""LOAM"", ""value"":0.005200628698124839},"
4-c Control,Maverick,31.16666667,1.333333333,0.041025641,"{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.04102564101664694},","{""source"": ""4-c Control"", ""target"": ""Maverick"", ""value"":0.001683103220826784},"
4-c Control,Merfolk,26,7.5,0.223880597,"{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.22388059701492538},","{""source"": ""4-c Control"", ""target"": ""Merfolk"", ""value"":0.050122521719759415},"
4-c Control,Nic Fit,25.16666667,4.333333333,0.146892655,"{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.14689265535593218},","{""source"": ""4-c Control"", ""target"": ""Nic Fit"", ""value"":0.021577452197516674},"
4-c Control,Painter,22.5,6.5,0.224137931,"{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.22413793103448276},","{""source"": ""4-c Control"", ""target"": ""Painter"", ""value"":0.05023781212841855},"
4-c Control,Pikula,31,2,0.060606061,"{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.06060606060606061},","{""source"": ""4-c Control"", ""target"": ""Pikula"", ""value"":0.0036730945821854917},"
4-c Control,Reanimator,35.5,2.166666667,0.057522124,"{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.05752212390367296},","{""source"": ""4-c Control"", ""target"": ""Reanimator"", ""value"":0.003308794738389504},"
4-c Control,Slivers,23.5,4,0.145454545,"{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.14545454545454545},","{""source"": ""4-c Control"", ""target"": ""Slivers"", ""value"":0.021157024793388428},"
4-c Control,Sneak & Show,24.65384616,12.23076923,0.331595412,"{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.33159541188119124},","{""source"": ""4-c Control"", ""target"": ""Sneak & Show"", ""value"":0.10995551718065687},"
4-c Control,Stoneblade,25.7,13.1,0.337628866,"{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.3376288659793814},","{""source"": ""4-c Control"", ""target"": ""Stoneblade"", ""value"":0.1139932511425231},"
4-c Control,Storm,33.27777778,8.055555556,0.194892473,"{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.19489247313531913},","{""source"": ""4-c Control"", ""target"": ""Storm"", ""value"":0.03798307608480109},"
4-c Control,UR Delver,24.8,16,0.392156863,"{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.392156862745098},","{""source"": ""4-c Control"", ""target"": ""UR Delver"", ""value"":0.15378700499807763},"
4-c Control,UWx Control,25.125,14.5625,0.366929134,"{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.3669291338582677},","{""source"": ""4-c Control"", ""target"": ""UWx Control"", ""value"":0.13463698927397855},"
4-c Control,Zombie Bombardment,29.5,6,0.169014085,"{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.16901408450704225},","{""source"": ""4-c Control"", ""target"": ""Zombie Bombardment"", ""value"":0.028565760761753618},"
