0,1,2,3,4,,,,,,,,
Deck A,Deck B,Different,Same,Jaccard,,,json,,,,,
Canadian Threshold,UR Delver,65.62,74.41,0.531386132,39.85395987,0.132846533,Canadian ThresholdUR Delver,"{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""UR Delver"", ""value"": 0.132846533},"
4-c Control,BUG Midrange,62,54.83,0.469314388,35.19857913,0.117328597,"{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"": 35},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""BUG Midrange"", ""value"": 0.117328597},"
Grixis Delver,UR Delver,75.05,66.3,0.469048461,35.17863459,0.117262115,"{""source"": ""Grixis Delver"", ""target"": ""UR Delver"", ""value"": 35},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Delver"", ""target"": ""UR Delver"", ""value"": 0.11726211525},"
Stoneblade,UWx Control,92.71,76.71,0.452780073,33.95850549,0.113195018,"{""source"": ""Stoneblade"", ""target"": ""UWx Control"", ""value"": 34},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Stoneblade"", ""target"": ""UWx Control"", ""value"": 0.11319501825},"
Canadian Threshold,Grixis Delver,80.55,61.95,0.434736842,32.60526316,0.108684211,"{""source"": ""Canadian Threshold"", ""target"": ""Grixis Delver"", ""value"": 33},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Canadian Threshold"", ""target"": ""Grixis Delver"", ""value"": 0.1086842105},"
Doomsday,Storm,72.33,55.02,0.432037691,32.40282686,0.108009423,"{""source"": ""Doomsday"", ""target"": ""Storm"", ""value"": 32},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Doomsday"", ""target"": ""Storm"", ""value"": 0.10800942275},"
4-c Control,Food Chain,68.17,47.83,0.412327586,30.92456897,0.103081897,"{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"": 31},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Food Chain"", ""value"": 0.1030818965},"
4-c Control,Grixis Control,90.51,62.49,0.408431373,30.63235294,0.102107843,"{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"": 31},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Grixis Control"", ""value"": 0.10210784325},"
BUG Midrange,Delver (Other),81.5,54.83,0.402185873,30.16394044,0.100546468,"{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"": 30},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Delver (Other)"", ""value"": 0.10054646825},"
Death's Shadow,Delver (Other),93.85,59.91,0.389633195,29.22248959,0.097408299,"{""source"": ""Death's Shadow"", ""target"": ""Delver (Other)"", ""value"": 29},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Delver (Other)"", ""value"": 0.09740829875},"
BUG Midrange,Food Chain,79.17,48.33,0.379058824,28.42941176,0.094764706,"{""source"": ""BUG Midrange"", ""target"": ""Food Chain"", ""value"": 28},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""BUG Midrange"", ""target"": ""Food Chain"", ""value"": 0.094764706},"
Legacy Landstill,UWx Control,89.89,54.66,0.378139052,28.36042892,0.094534763,"{""source"": ""Legacy Landstill"", ""target"": ""UWx Control"", ""value"": 28},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Legacy Landstill"", ""target"": ""UWx Control"", ""value"": 0.094534763},"
Legacy Landstill,Stoneblade,88.42,52.75,0.37366296,28.02472197,0.09341574,"{""source"": ""Legacy Landstill"", ""target"": ""Stoneblade"", ""value"": 28},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Legacy Landstill"", ""target"": ""Stoneblade"", ""value"": 0.09341574},"
4-c Control,Delver (Other),82.16,48.5,0.371192408,27.83943058,0.092798102,"{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"": 28},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""4-c Control"", ""target"": ""Delver (Other)"", ""value"": 0.092798102},"
Grixis Control,Grixis Delver,110.95,61.77,0.357630848,26.82231357,0.089407712,"{""source"": ""Grixis Control"", ""target"": ""Grixis Delver"", ""value"": 27},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Grixis Control"", ""target"": ""Grixis Delver"", ""value"": 0.089407712},"
Delver (Other),Food Chain,87.33,48,0.354688539,26.60164043,0.088672135,"{""source"": ""Delver (Other)"", ""target"": ""Food Chain"", ""value"": 27},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Food Chain"", ""value"": 0.08867213475},"
Delver (Other),Grixis Delver,95.66,51.25,0.348853039,26.16397795,0.08721326,"{""source"": ""Delver (Other)"", ""target"": ""Grixis Delver"", ""value"": 26},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Delver (Other)"", ""target"": ""Grixis Delver"", ""value"": 0.08721325975},"
Death's Shadow,Grixis Delver,103.33,54.92,0.347045814,26.02843602,0.086761454,"{""source"": ""Death's Shadow"", ""target"": ""Grixis Delver"", ""value"": 26},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Death's Shadow"", ""target"": ""Grixis Delver"", ""value"": 0.0867614535},"
Junk,Pikula,81,43,0.346774194,26.00806452,0.086693549,"{""source"": ""Junk"", ""target"": ""Pikula"", ""value"": 26},","{""source"": """,""", ""target"": """,""", ""value"": ","},","{""source"": ""Junk"", ""target"": ""Pikula"", ""value"": 0.0866935485},"
